"id","iot_tbl","iot_fld","storage_type","src_disconn","samp_freq_mismatch","samp_freq_diag_time","samp_freq_clr_time","conv_amp_factor","norm_val","auto_mon_max_val","auto_clr_max_val","max_val_thres","max_val_estab_time","max_val_clr_time","auto_mon_min_val","auto_clr_min_val","min_val_thres","min_val_estab_time","min_val_clr_time","auto_mon_rate_chg","auto_clr_rate_chg","rate_chg_thres","rate_chg_estab_time","rate_chg_clr_time","auto_mon_dead_zone","auto_clr_dead_zone","dead_zone_thres_z1","dead_zone_thres_v1","dead_zone_thres_v2","dead_zone_thres_v3","created_at","updated_at","site_id","conv_amp_factor_sign","norm_val_sign"
2,root.ln.`1521714652626283467`,"4303_16867",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
3,root.ln.`1521714652626283467`,"4303_17056",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
4,root.ln.`1521714652626283467`,"4303_17245",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
5,root.ln.`1521714652626283467`,"4303_17434",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
6,root.ln.`1521714652626283467`,"4303_17623",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
7,root.ln.`1521714652626283467`,"4303_17812",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
8,root.ln.`1521714652626283467`,"4303_18001",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
9,root.ln.`1521714652626283467`,"4303_18190",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
10,root.ln.`1521714652626283467`,"4303_18379",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
11,root.ln.`1521714652626283467`,"4303_18568",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
